	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
21	PhyloDeep	0.035136773517577394	0.5065402966339693	0.1180169114861988		4.2920992445494175	8.473361888621723	28.460211336699533	0.19227046494537572	-0.10339423565099427	0.012376718391128099		-0.11435560689908572	-0.012225407959595378	-0.16126413477346732
21	PyBDEI	0.02873858822412619	0.5766155936923985	0.11660408803021358		4.945071853252609	8.576028652965302	34.796420485279604	-0.024834482121366023	0.020643112805920332	0.00025718775755781783		0.020380683386105068	-0.0002571216290225899	0.02546694039734966
22	PyBDEI	0.6646268637199765	0.19561281140847386	0.166211343013676		1.176892069227662	6.016436555221863	1.5046036424150986	0.0017765338257128625	0.029107057551649523	0.008415578104026164		0.02051880186790269	-0.008345347183002122	-0.0017733833502054693
22	PyBDEI (forest)	0.6602511462295337	0.1922332671758744	0.16544550331651356		1.1619129158688173	6.044286365927403	1.5145751820510345	-0.004818882850708375	0.01132748168423061	0.003769176318526366		0.007529923755404508	-0.0037550229748541677	0.004842216926816511
22	PhyloDeep	0.4949825988308138	0.22409206690699665	0.1895179137511479		1.1824321114111005	5.276546054179763	2.020273040632288	-0.25392430064383503	0.17893468190977888	0.14981813570153202		0.025322740444063255	-0.13029724532056036	0.34034656384461015
23	PyBDEI	0.029982338604129095	0.4803385989417631	0.11356854390479115		4.229503896294112	8.80525509632613	33.352968666102726	-0.04948014278082169	0.02728613723899871	-0.02121290430622197		0.04955014400843096	0.021672644030095292	0.05205587490363409
23	PhyloDeep	0.032972214124766336	0.4547926721643954	0.11272226786166037		4.034630253558636	8.871361612660781	30.328566841644783	0.045306861345262135	-0.027348190502158153	-0.02850650904861981		0.001192307058410678	0.029342974826010722	-0.04334312059040162
23	PyBDEI (forest)	0.03167678065468375	0.4604147248642706	0.11428812146953962		4.028543989910461	8.749815703870176	31.56886461731203	0.004238175767471192	-0.015324470538505797	-0.015011246606736021		-0.00031799747021559404	0.015240018279419539	-0.004220289439038626
24	PyBDEI	0.24385259239095786	0.6861800873940044	0.18080432815593125		3.795152994358749	5.5308410489906485	4.100838093190107	0.010376791841981738	-0.007505624530132883	0.03802107651610433		-0.043859129719251974	-0.036628424389718375	-0.010270219907827028
24	PyBDEI (forest)	0.2312427846167709	0.7165493209621866	0.17887216078662793		4.005929809373411	5.590584893715656	4.324459254619591	-0.041870580226963036	0.036420589677310905	0.026928253279241293		0.009243427053212292	-0.026222136934350264	0.04370033876726277
24	PhyloDeep	0.2446879874108635	0.7019218677144295	0.18259528389012986		3.844140181280837	5.476592706532958	4.086837325286703	0.013838160580599817	0.015263366752083007	0.048303185457668055		-0.03151742660322122	-0.046077495640328495	-0.01364927965689831
25	PyBDEI	0.12069936753426835	0.2029738929542998	0.17550858749667986		1.1564898096974288	5.697726899083599	8.285047555995561	-0.012243837989400656	0.014889404739518134	0.0008593960568941922		0.014017961701611913	-0.0008586581294832626	0.012395607803122138
25	PyBDEI (forest)	0.12119143582758694	0.2004249016662007	0.17630033185376212		1.1368379149305825	5.672139067948447	8.25140813929006	-0.008216944569951036	0.0021441978884696967	0.005374416036049336		-0.0032129504153444767	-0.0053456860949765705	0.008285022137616439
25	PhyloDeep	0.12435683522082285	0.19883532267176085	0.17446205695890138		1.139705252464157	5.7319053634428565	8.041375435650806	0.017687439353234587	-0.005803853242503698	-0.005108573584567819		-0.0006988497834793882	0.005134805114336762	-0.01738003110707118
26	PyBDEI	0.08266341417058462	0.4554264852894157	0.20008160201201247		2.2762037124336545	4.997960781721262	12.097250156355688	0.02248309571225262	-0.02966435017813195	-0.011166240440128145		-0.018706996559499797	0.011292333349438357	-0.021988721189166574
26	PyBDEI (forest)	0.0797307617260409	0.4616176172309727	0.19020807125183492		2.4269086700311058	5.257400453191088	12.542210538964277	-0.013791567997587182	-0.016473470355176545	-0.05996273368856905		0.046263339648264686	0.06378761336117424	0.013984435287766252
26	PhyloDeep	0.08163331395896771	0.4696501394249738	0.2028441161622556		2.3153254248168538	4.929894043365286	12.249900824835331	0.00974154536817425	0.0006406916327269642	0.0024865253591892897		-0.0018412553982222585	-0.0024803578864049532	-0.009647563193630918
27	PyBDEI	0.10227491313018104	0.24292882352920664	0.12096776557211425		2.0082112154447134	8.26666505139219	9.777568803477214	0.008119403574663116	-0.005270597365758813	-0.004112680117303672		-0.0011626990577522905	0.004129664104758442	-0.008054009818551758
27	PyBDEI (forest)	0.0969309335963893	0.2564404908767297	0.12758987527747812		2.009881194091864	7.837612489433304	10.316624042474409	-0.04455597199338069	0.05005611353636804	0.05040494327810008		-0.00033209072745189397	-0.04798620151272018	0.04663378564031614
27	PhyloDeep	0.09725363619265152	0.2675145430069718	0.12945095163304096		2.0665320697317417	7.724933555025027	10.282391889379658	-0.0413751064329105	0.09540143361911145	0.06572656499337952		0.027844730159199648	-0.061673009899859375	0.04316089297342545
28	PyBDEI (forest)	0.15523934052779367	0.5999555517334014	0.19544106063892994		3.069751820687245	5.1166320768564715	6.441666117622822	-0.03452207209485995	0.023150322277688165	-0.001453540926251512		0.02463967798429956	0.001455656782959657	0.03575645915568928
28	PyBDEI	0.16078709904669328	0.5879261701061835	0.2023505327191227		2.905483678277576	4.941919285125248	6.219404454269031	-1.8972679887163337e-05	0.0026356930636918905	0.03384829819184381		-0.03019070126897838	-0.03274010147431022	1.8973039856437415e-05
